Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Phat Panda Flower (Powdered Donut/3.5g),,Phat Panda,,75.6,12,2026-03-13
(H) G.G. #4 & Blu-Glue DOH 1g,,PICC,,75.0,10,2026-06-16
Phat Panda Flower (Jack Herer/7g),,Phat Panda,,74.98,7,2026-03-29
Blue Raspberry Panda Candies,,Hot Sugar,,74.62,22,2026-06-08
CBD 1:1 Peach Mango Drops,,Hot Sugar,,74.0,17,2026-05-03
Hybrid - Pineapple Whip Panda Pen,,Panda Concentrates,,73.5,10,2026-05-18
Sativa - Raspberry Lemonade Panda Pen,,Panda Concentrates,,73.5,10,2026-05-18
Pineapple Donut LR Dabstract Cake Icing - (S),,Dabstract,,72.0,12,2026-03-13
Blood Orange LR Gummiez - Indica,,Hot Sugar,,71.5,14,2026-05-18
Strawberry LR Gummiez - Sativa,,Hot Sugar,,71.25,14,2026-06-08
Phat Panda Flower (OG Chem/14g),,Phat Panda,,70.0,4,2026-03-13
Hybrid - Pineapple Whip Panda Pen AIO,,Panda Concentrates,,70.0,8,2026-06-08
Gorilla Diesel LR Infused Preroll - (S),,Dabstract,,70.0,20,2026-05-18
Raspberry Zkittlez LR Infused Preroll - (H),,Dabstract,,70.0,20,2026-05-18
Candy Gas 28g Preroll Pack,,Phat Panda,,70.0,2,2026-06-08
Phat Panda Flower (Triangle Kush/14g),,Phat Panda,,70.0,2,2026-05-03
Grand Daddy Purple 28g Preroll Pack,,Phat Panda,,70.0,2,2026-06-08
Hybrid - Banana Tangie Panda Pen AIO,,Panda Concentrates,,70.0,8,2026-06-08
Platinum Flower (Chronberry Crunch - Platinum Line/7g),,Phat Panda,,69.95,5,2026-06-08
Sungrown (BDP Jack Herer/3.5g),,Snickle Fritz,,69.93,21,2026-04-14
Butterscotch Panda Candies,,Hot Sugar,,69.93,21,2026-05-03
Phat Panda Flower (Gary Payton/3.5g),,Phat Panda,,69.8,10,2026-06-08
Grand Daddy Purple Platinum Bong Buddies,,Phat Panda,,68.3,20,2026-05-18
Gelato OG LR Dabstract 1g C-Cell - (H),,Dabstract,,68.0,8,2026-03-13
Cheddar Cheese LR Dabstract 1g C-Cell - (I),,Dabstract,,68.0,8,2026-04-14
Pineapple Donut LR Dabstract 1g C-Cell - (S),,Dabstract,,68.0,8,2026-04-14
Phat Panda Flower (Runtz Burger/14g),,Phat Panda,,67.62,3,2026-01-24
Phat Panda Flower (Ice Cream Cake/14g),,Phat Panda,,67.62,3,2026-02-11
Phat Panda Flower (Nooner/14g),,Phat Panda,,67.62,3,2026-01-24
Kush Mintz 28g Preroll Pack,,Phat Panda,,66.66,2,2026-03-01
Cream Puffs 28g Preroll Pack,,Phat Panda,,66.66,2,2026-01-03
OG Chem 28g Preroll Pack,,Phat Panda,,66.66,2,2026-02-11
Sunset Sherbert 28g Preroll Pack,,Phat Panda,,66.66,2,2026-03-13
Triple Burger 28g Preroll Pack,,Phat Panda,,66.66,2,2026-04-14
Gold Digger 28g Preroll Pack,,Phat Panda,,66.66,2,2026-01-24
Rainbow Belts 28g Preroll Pack,,Phat Panda,,66.66,2,2026-05-03
Grape Candy 28g Preroll Pack,,Phat Panda,,66.66,2,2026-01-03
Hybrid - Wedding Cake Panda Pen AIO,,Panda Concentrates,,66.64,8,2026-04-14
Phat Panda Flower (Biscuits & Gravy/3.5g),,Phat Panda,,66.64,8,2026-05-03
Indica - GMO Panda Pen AIO,,Panda Concentrates,,66.64,8,2026-04-14
Indica - Blackberry Panda Pen AIO,,Panda Concentrates,,66.64,8,2026-03-29
Sativa - Orange Soda Panda Pen AIO,,Panda Concentrates,,66.64,8,2026-01-24
Sativa - Green Crack Panda Pen AIO,,Panda Concentrates,,66.64,8,2026-01-24
Sativa - Peach Ringz Panda Pen AIO,,Panda Concentrates,,66.64,8,2026-04-14
Indica - Northern Lights Panda Pen AIO,,Panda Concentrates,,66.64,8,2026-02-11
Indica - Granddaddy Purple Sparklers,,Phat Panda,,66.6,20,2026-02-11
MAC Stomper LR Infused Preroll - (I),,Dabstract,,66.6,20,2026-03-29
Wedding Cake LR Infused Preroll - (H),,Dabstract,,66.6,20,2026-01-24
